CategoryID,Category Path
20397,"Baby > Baby Changing & Nappies > Nappy Sacks & Nappy Bins"
121469,"Baby > Baby Changing & Nappies > Nappy Stackers"
45456,"Baby > Baby Changing & Nappies > Wipes, Creams & Cotton Wool"
20399,"Baby > Baby Changing & Nappies > Other Baby Changing"
20408,"Baby > Baby Feeding > Baby Bibs & Burp Cloths"
162034,"Baby > Baby Feeding > Baby Food"
112376,"Baby > Baby Feeding > Booster Seats"
20402,"Baby > Baby Feeding > Bottle Feeding > Baby Bottles"
106777,"Baby > Baby Feeding > Bottle Feeding > Bottle Bags"
184345,"Baby > Baby Feeding > Bottle Feeding > Bottle Brushes"
184346,"Baby > Baby Feeding > Bottle Feeding > Bottle Drying Racks"
106789,"Baby > Baby Feeding > Bottle Feeding > Bottle Sterilisers"
162035,"Baby > Baby Feeding > Bottle Feeding > Bottle Teats"
20403,"Baby > Baby Feeding > Bottle Feeding > Formula"
184347,"Baby > Baby Feeding > Bottle Feeding > Formula Dispensers"
184348,"Baby > Baby Feeding > Bottle Feeding > Sterilising/Cleaning Supplies"
184349,"Baby > Baby Feeding > Bottle Feeding > Other Bottle Feeding"
20404,"Baby > Baby Feeding > Bottle & Food Warmers"
23591,"Baby > Baby Feeding > Breastfeeding/Nursing > Electric Breast Pumps"
157253,"Baby > Baby Feeding > Breastfeeding/Nursing > Manual Breast Pumps"
184350,"Baby > Baby Feeding > Breastfeeding/Nursing > Breast Pump Parts"
168751,"Baby > Baby Feeding > Breastfeeding/Nursing > Breast Milk Storage"
160065,"Baby > Baby Feeding > Breastfeeding/Nursing > Feeding Pillows & Covers"
168752,"Baby > Baby Feeding > Breastfeeding/Nursing > Nipple Shields/Protectors"
184340,"Baby > Baby Feeding > Breastfeeding/Nursing > Nursing Covers/Blankets"
106766,"Baby > Baby Feeding > Breastfeeding/Nursing > Nursing Pads"
19732,"Baby > Baby Feeding > Breastfeeding/Nursing > Other Breastfeeding Supplies"
184341,"Baby > Baby Feeding > Cups, Dishes & Utensils > Bowls & Plates"
117387,"Baby > Baby Feeding > Cups, Dishes & Utensils > Sippy Cups & Mugs"
117385,"Baby > Baby Feeding > Cups, Dishes & Utensils > Utensils"
117386,"Baby > Baby Feeding > Cups, Dishes & Utensils > Feeding Sets"
106776,"Baby > Baby Feeding > Cups, Dishes & Utensils > Other Baby Dishes"
32872,"Baby > Baby Feeding > Dummies & Soothers"
162032,"Baby > Baby Feeding > Dummy Clips & Cases"
32866,"Baby > Baby Feeding > Food Grinders & Blenders"
2986,"Baby > Baby Feeding > High Chairs"
121627,"Baby > Baby Feeding > Teething"
20405,"Baby > Baby Feeding > Other Baby Feeding"
66693,"Baby > Car Seats & Accessories > Car Seat Accessories"
66695,"Baby > Car Seats & Accessories > Car Seats"
100980,"Baby > Christening & Gifts > Baby Jewellery"
100979,"Baby > Christening & Gifts > Christening > Gifts"
139764,"Baby > Christening & Gifts > Christening > Silverware"
139765,"Baby > Christening & Gifts > Christening > Other Christening"
121628,"Baby > Christening & Gifts > Gift Baskets"
100981,"Baby > Christening & Gifts > Ornaments"
32871,"Baby > Christening & Gifts > Other Gifts"
163224,"Baby > Clothes, Shoes & Accessories > Accessories > Caps & Hats"
163225,"Baby > Clothes, Shoes & Accessories > Accessories > Gloves & Mittens"
18786,"Baby > Clothes, Shoes & Accessories > Accessories > Hair Accessories"
175523,"Baby > Clothes, Shoes & Accessories > Accessories > Scarves"
163226,"Baby > Clothes, Shoes & Accessories > Accessories > Other Accessories"
139762,"Baby > Clothes, Shoes & Accessories > Christening Clothing"
57784,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Babygrows & Playsuits"
147324,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Coats, Jackets & Snowsuits"
147338,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Jumpers & Cardigans"
147333,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Outfits & Sets"
175727,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > T-Shirts, Tops & Shirts > Shirts"
175728,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > T-Shirts, Tops & Shirts > T-Shirts & Tops"
147336,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Sleepwear"
163220,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Socks"
147339,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Swimwear"
57793,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Trousers & Shorts"
147341,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Underwear"
147342,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Bundles"
147343,"Baby > Clothes, Shoes & Accessories > Boys' Clothing (0-24 Months) > Other Boys' Clothing"
57847,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Babygrows & Playsuits"
147202,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Coats, Jackets & Snowsuits"
163351,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Dresses"
147216,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Jumpers & Cardigans"
147211,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Outfits & Sets"
147214,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Skirts"
147215,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Sleepwear"
147284,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Socks & Tights"
152398,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Swimwear"
175763,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > T-Shirts, Tops & Shirts > Shirts"
175764,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > T-Shirts, Tops & Shirts > T-Shirts & Tops"
163175,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Trousers & Shorts"
147219,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Underwear"
147220,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Bundles"
147221,"Baby > Clothes, Shoes & Accessories > Girls' Clothing (0-24 Months) > Other Girls' Clothing"
147285,"Baby > Clothes, Shoes & Accessories > Shoes"
1070,"Baby > Clothes, Shoes & Accessories > Other Clothing, Shoes & Accs."
121629,"Baby > Maternity/Pregnancy > Baby Showers"
100985,"Baby > Maternity/Pregnancy > Birthing Balls & Tens Machines"
121631,"Baby > Maternity/Pregnancy > Maternity Health"
87169,"Baby > Maternity/Pregnancy > Monitors/Dopplers"
112377,"Baby > Maternity/Pregnancy > Nursing Bras"
100986,"Baby > Maternity/Pregnancy > Pregnancy Testing Equipment"
121630,"Baby > Maternity/Pregnancy > Support Belts"
87170,"Baby > Maternity/Pregnancy > Other Maternity/Pregnancy"
3081,"Baby > Nursery Bedding > Blankets & Throws"
180905,"Baby > Nursery Bedding > Canopies & Netting"
20417,"Baby > Nursery Bedding > Cot Bumpers"
180907,"Baby > Nursery Bedding > Cot Pillows"
180906,"Baby > Nursery Bedding > Decorative Nursery Pillows"
18646,"Baby > Nursery Bedding > Duvets"
134278,"Baby > Nursery Bedding > Duvet Covers & Sets"
162041,"Baby > Nursery Bedding > Mattress Pads & Covers"
